time,chlor_a
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,0.16976386
2015-03-07,0.1837547
2015-03-08,
2015-03-09,
2015-03-10,0.11820573
2015-03-11,
2015-03-12,0.17562945
2015-03-13,0.15545127
2015-03-14,
2015-03-15,0.17531833
2015-03-16,
2015-03-17,
2015-03-18,0.12461443
2015-03-19,
2015-03-20,0.17008747
2015-03-21,
2015-03-22,
2015-03-23,0.15831262
2015-03-24,
2015-03-25,
2015-03-26,0.2165077
2015-03-27,
2015-03-28,0.17703445
2015-03-29,0.17411001
2015-03-30,
2015-03-31,0.17852686
2015-04-01,
2015-04-02,0.17987064
2015-04-03,0.13473274
2015-04-04,
2015-04-05,0.18623681
2015-04-06,
2015-04-07,0.13693798
2015-04-08,0.14801474
2015-04-09,0.14726412
2015-04-10,
2015-04-11,0.14294603
2015-04-12,
2015-04-13,0.14647996
2015-04-14,0.14137468
2015-04-15,
2015-04-16,0.1502729
2015-04-17,
2015-04-18,0.1360055
2015-04-19,0.11235009
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,0.13984767
2015-04-25,0.14041087
2015-04-26,0.15160275
2015-04-27,0.15789026
2015-04-28,
2015-04-29,0.105996266
2015-04-30,0.124339655
2015-05-01,
2015-05-02,0.13931726
2015-05-03,
2015-05-04,0.16129105
2015-05-05,0.15450379
2015-05-06,
2015-05-07,0.1553455
2015-05-08,
2015-05-09,0.17603949
2015-05-10,
2015-05-11,0.17141432
2015-05-12,0.1756559
2015-05-13,0.13812938
2015-05-14,
2015-05-15,0.15895477
2015-05-16,0.15372652
2015-05-17,
2015-05-18,
2015-05-19,
2015-05-20,0.1745648
2015-05-21,0.15466851
2015-05-22,
2015-05-23,0.19414625
2015-05-24,
2015-05-25,0.19853602
2015-05-26,0.171971
2015-05-27,0.17871152
2015-05-28,0.1794681
2015-05-29,0.14205837
2015-05-30,
2015-05-31,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,0.20422468
2015-06-06,0.2142707
2015-06-07,
2015-06-08,0.22173962
2015-06-09,
2015-06-10,0.17597248
2015-06-11,0.18830748
2015-06-12,0.16896348
2015-06-13,0.2016227
2015-06-14,
2015-06-15,
2015-06-16,0.16291961
2015-06-17,
2015-06-18,0.20626242
2015-06-19,0.1859914
2015-06-20,
2015-06-21,0.18186705
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-27,0.1771295
2015-06-28,0.19826698
2015-06-29,0.18937646
2015-06-30,0.17186168
2015-07-01,
2015-07-02,0.17947914
2015-07-03,0.1733621
2015-07-04,0.17271632
2015-07-05,0.13878284
2015-07-06,
2015-07-07,0.15319924
2015-07-08,0.15936495
2015-07-09,
2015-07-10,0.17386164
2015-07-11,
2015-07-12,0.1545045
2015-07-13,0.13995814
2015-07-14,0.13837041
2015-07-15,0.14152786
2015-07-16,0.15478078
2015-07-17,
2015-07-18,0.17367466
2015-07-19,0.1646196
2015-07-20,
2015-07-21,0.16518869
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-25,
